24.528887	31.091967	AK0095-C
29.802711	36.795696	AK0096-C
28.095022	35.231667	AK0098-C
23.776833	30.372597	AK0099-C
20.66701	27.414274	AK0100-C
34.099506	40.227364	AK0101-C
26.328012	32.336426	AK0102-C
25.658379	32.912594	AK0103-C
28.401804	34.615154	AK0104-C
33.271908	39.74509	AK0105-C
24.311657	31.279644	AK0106-C
24.780552	32.527775	AK0108-C
19.517656	25.295893	AK0109-C
34.133575	40.692074	AK0110-C
29.05103	36.03452	AK0116-C
22.096039	29.06745	AK0119-C
22.590265	29.5751	AK0127-C
8.1137085	-4.765593	AN0007-C
7.5647316	-4.619765	AN0008-C
8.165817	-5.164252	AN0009-C
7.427706	-5.362307	AN0010-C
7.7069488	-5.3775353	AN0011-C
7.041807	-6.2548547	AN0012-C
8.172563	-4.3556848	AN0014-C
8.038816	-4.5006433	AN0016-C
8.277849	-3.7886646	AN0017-C
7.790161	-5.209124	AN0018-C
7.3654785	-5.911906	AN0019-C
7.8669853	-4.532641	AN0020-C
8.309659	-4.7743745	AN0022-C
8.002078	-4.555918	AN0023-C
8.336679	-3.9424884	AN0024-C
8.5068035	-3.465987	AN0025-C
8.080079	-4.454993	AN0026-C
8.234489	-4.0022035	AN0027-C
8.021471	-4.117762	AN0028-C
8.020237	-4.2040696	AN0029-C
7.6719503	-5.199015	AN0030-C
8.150653	-4.223315	AN0031-C
8.279244	-4.079676	AN0032-C
7.875234	-4.747702	AN0033-C
7.737786	-5.640589	AN0034-C
7.3780365	-4.1449037	AN0035-C
8.278836	-3.5773304	AN0036-C
8.486452	-3.5702465	AN0037-C
7.8800125	-4.7496667	AN0038-C
8.319334	-3.4361942	AN0039-C
7.5972567	-5.2239594	AN0040-C
8.283233	-4.036177	AN0041-C
7.9448094	-3.959193	AN0042-C
7.846152	-5.1081567	AN0043-C
7.958079	-3.9341571	AN0045-C
8.434479	-3.8613384	AN0046-C
7.927761	-4.6470284	AN0047-C
8.088737	-5.0525384	AN0048-C
7.6024103	-5.284739	AN0049-C
7.886601	-4.428427	AN0050-C
7.894512	-4.445914	AN0051-C
6.2789297	-6.995703	AN0053-C
8.302919	-3.4393375	AN0054-C
7.7849755	-4.951155	AN0055-C
8.008401	-4.8706307	AN0056-C
8.256545	-3.52159	AN0057-C
8.218224	-3.3695247	AN0058-C
8.212822	-4.2180734	AN0059-C
8.304278	-3.6848361	AN0060-C
7.9323387	-5.1283746	AN0063-C
7.905272	-4.6915994	AN0064-C
8.228576	-4.0829186	AN0065-C
8.405874	-3.609103	AN0066-C
7.4397626	-6.6144853	AN0067-C
