mean1	mean2	sd1	sd2	sampleID
-0.48860207	-0.023659058	-1.7892394	0.22891177	HG00620
-0.5498108	0.046242885	-1.6647375	0.11552585	HG00622
-0.5527926	-0.104612775	-1.517482	-0.089951985	HG00623
-0.6129835	0.078239016	-1.4399033	-0.1225748	HG00625
-0.50614387	0.10199862	-1.6316857	0.050583728	HG00626
-0.53758734	-0.18100317	-1.693922	0.03653849	HG00628
-0.47953966	-0.110998936	-1.7351221	0.14193644	HG00629
-0.50409776	0.07257896	-1.8033662	0.2452984	HG00631
-0.5558463	0.08253031	-1.5144613	-0.09178769	HG00632
-0.5280543	-0.031015463	-1.6142437	0.049601205	HG00634
-0.4639832	0.10284584	-1.7401671	0.09471322	HG00637
-0.53608626	-0.02069623	-1.6081975	0.033594854	HG00638
-0.5195964	0.029410653	-1.8242989	0.1470324	HG00640
-0.47966424	-0.008067557	-1.7552489	0.1391225	HG00641
-0.512181	0.0055407803	-1.7456044	0.19221736	HG00650
-0.5556124	-0.1471513	-1.555994	-0.07958483	HG00651
-0.45178404	-0.049901433	-1.6530359	0.1431513	HG00653
-0.5390021	-0.06584091	-1.7726468	0.12992705	HG00654
-0.4551181	-0.085610576	-1.8551185	0.24865295	HG00656
-0.5169237	0.06365769	-1.7087748	0.17831077	HG00657
-0.4689186	-0.20353599	-1.7846969	0.13473918	HG00662
-0.55745524	0.06589156	-1.6316581	0.08863259	HG00663
-0.5120174	0.15678029	-1.7099056	0.27926958	HG00671
-0.5207303	0.11571007	-1.7857201	0.21172656	HG00672
-0.52326614	-0.10390324	-1.7279644	0.08415402	HG00674
-0.5092518	-0.028321333	-1.6478615	0.025244841	HG00675
-0.62899286	0.11059301	-1.5310609	-0.0156387	HG00683
-0.5814994	-0.05605764	-1.567204	-0.032570593	HG00684
-0.5088454	-0.010229775	-1.6493804	0.10684086	HG00689
-0.43257967	-0.08300311	-1.7107794	0.1595545	HG00690
-0.50006145	0.032550506	-1.6452546	0.15438022	HG00692
-0.5835971	-0.018921442	-1.4864365	-0.075228445	HG00693
-0.50915223	-0.064763494	-1.7293025	0.09754384	HG00698
-0.39455023	-0.20319898	-1.8039007	0.13994314	HG00699
-0.5311466	-0.04081113	-1.5750097	0.019558439	HG00701
-0.61185056	0.29548794	-1.5292193	0.098341115	HG00704
-0.56412536	0.23780458	-1.7102292	0.20625557	HG00705
-0.5635281	-0.09825701	-1.8387206	0.08547676	HG00707
-0.47021	-0.12142856	-1.8145046	0.18570913	HG00708
-0.5273356	0.110527925	-1.6587673	0.17920591	HG00717
-0.45851436	-0.1614178	-1.5843655	-0.015609851	HG00728
-0.4285318	-0.11620111	-1.7942228	0.21182705	HG00729
-0.48179057	0.20213513	-1.9816463	0.33158112	HG00731
-0.4922532	0.071082406	-1.8552694	0.13838209	HG00732
-0.5529954	-0.0807913	-1.7717706	0.1270708	HG00734
-0.5270031	0.23339157	-1.7196575	0.27565455	HG00736
-0.49086037	0.05425828	-1.6747422	0.1763239	HG00737
-0.45569733	0.06568008	-1.7581728	0.24421741	HG00739
-0.46409395	0.07301932	-1.8227272	0.28218353	HG00740
-0.5027614	0.13574903	-1.9041336	0.22917046	HG00742
-0.48973814	-0.07575149	-1.6794354	0.12487555	HG00743
-0.48493674	-0.008510896	-1.7356858	0.19185223	HG00759
-0.60595876	0.17438488	-1.7010362	0.061322458	HG00766
-0.48920265	-0.019415922	-1.578695	0.043987878	HG00844
-0.50980264	0.047945313	-1.7575817	0.17386974	HG00851
-0.4963279	-0.07152838	-1.5887007	0.0145673845	HG00864
-0.4816095	-0.03141076	-1.6466297	0.12542595	HG00867
-0.49512354	0.023469143	-1.6781698	0.13561799	HG00879
-0.51602906	0.19202892	-1.8606257	0.3339318	HG00881
-0.5100947	0.081021	-1.6922382	0.11523474	HG00956
-0.5810699	0.16883712	-1.8880627	0.27016413	HG00978
-0.5539866	0.1171506	-1.6826909	0.16412415	HG00982
-0.49512103	-0.33506066	-1.779465	-0.003000608	HG01028
-0.5500341	0.0025404016	-1.5532088	-0.022105208	HG01029
-0.56795853	-0.03349013	-1.4245234	-0.12729584	HG01031
-0.42842665	-0.11562938	-1.6956891	0.033983357	HG01046
-0.54946226	0.007822803	-1.6176013	0.05626262	HG01047
-0.53267664	0.14273934	-1.6903102	0.115589984	HG01048
-0.5251865	0.07274776	-1.7146549	0.060307868	HG01049
-0.5835989	0.063172035	-1.7279882	0.11522616	HG01051
-0.49028578	0.07419675	-1.7127001	0.1909317	HG01052
-0.56671304	0.15981428	-1.8765321	0.19087876	HG01054
-0.6105358	0.20364158	-1.7012122	0.18513311	HG01055
-0.5265946	0.14310507	-1.8250551	0.24240841	HG01058
-0.5166635	-0.07916016	-1.681466	0.03218449	HG01060
-0.7612696	0.45924526	-1.8168702	0.34112227	HG01061
-0.5411182	0.14003055	-1.7960529	0.18848814	HG01063
-0.5290466	0.18633763	-1.6123724	0.13742091	HG01064
-0.52680427	-0.09187312	-1.5790219	-0.004828563	HG01066
-0.5207762	-0.014965125	-1.7019762	0.13836576	HG01067
-0.53187233	0.070568256	-1.6826582	0.10385466	HG01069
-0.54271334	0.30424136	-1.7961621	0.17053618	HG01070
-0.6269495	0.2749042	-1.5903351	0.13188376	HG01072
-0.50880164	-0.08468682	-1.765321	0.08704341	HG01073
-0.55652934	0.012359074	-1.8388228	0.20066728	HG01075
-0.48835698	-0.02965755	-1.7293597	0.16214181	HG01077
-0.5287326	0.03692644	-1.8196627	0.16884364	HG01079
-0.59943146	0.10938924	-1.564759	0.016248474	HG01080
-0.511995	-0.0060775955	-1.7244349	0.08656383	HG01082
-0.5062788	0.10926252	-1.675014	0.11929608	HG01083
-0.5511877	0.16543905	-1.7435651	0.050989397	HG01085
-0.5359904	0.06676703	-1.7087919	0.17100193	HG01086
-0.45328704	0.21885519	-1.7080938	-0.056729548	HG01088
-0.5445902	0.08877938	-1.6365588	0.0949359	HG01089
-0.51103765	0.1779813	-1.8779738	0.28978515	HG01092
-0.49133435	0.02752202	-1.6800483	0.048444875	HG01094
-0.54441935	0.11569827	-1.6905649	0.12309802	HG01095
-0.4798527	0.009375981	-1.7647164	0.17112531	HG01097
-0.49121705	0.018353514	-1.727939	0.16309263	HG01098
-0.51783043	0.1360244	-1.7831564	0.22770752	HG01101
-0.3617492	0.2326111	-1.7254274	0.051042445	HG01102
-0.55829996	0.06493061	-1.6966197	0.08968962	HG01104
-0.51240045	0.18820135	-1.8590683	0.28475392	HG01105
-0.51788396	-0.04449279	-1.6358713	0.057919987	HG01107
-0.22644582	0.4128526	-1.986208	0.12812044	HG01108
-0.54633886	-0.06834812	-1.6317002	-0.039478652	HG01110
-0.5330854	0.030707054	-1.5535691	0.022264728	HG01111
-0.5133267	0.07584923	-1.9699435	0.3166505	HG01112
-0.47920063	0.08301359	-1.8704915	0.24284853	HG01113
-0.5166965	0.0282337	-1.6196492	0.07691956	HG01119
-0.54790014	0.1087796	-1.8842986	0.20779647	HG01121
-0.51481575	0.09978943	-1.6661627	0.074187405	HG01122
-0.55222756	0.027864747	-1.7791688	0.16058697	HG01124
-0.47171703	0.07004183	-1.7502861	0.23916985	HG01125
-0.50463396	0.11882763	-1.7433255	0.15096213	HG01130
-0.56303066	0.15258805	-1.6188436	0.096287735	HG01131
-0.4791459	0.0356298	-1.8430593	0.23031797	HG01133
-0.52252716	0.12844603	-1.6242042	0.14885177	HG01134
-0.4296663	-0.009254166	-1.5817806	0.02245892	HG01136
-0.52556723	0.0817185	-1.7212796	0.13859262	HG01137
-0.48002568	0.042774253	-1.9427562	0.17715348	HG01139
-0.5299321	0.13395779	-1.7289824	0.1780584	HG01140
-0.48367396	0.26173228	-1.9270551	0.38269472	HG01142
